resource_id,data_product_types_proposed,data_product_types_confidence,visualization_types_proposed,visualization_types_confidence,data_sources_proposed,data_sources_confidence,temporal_resolution_proposed,temporal_resolution_confidence,access_conditions_proposed,access_conditions_confidence,bx_review_status,bx_evidence_basis,bx_evidence_url,bx_last_verified,bx_reviewer,bx_unresolved_fields,bx_notes
DR0001,mapas | indicadores | visualizações,desconhecida,mapa interativo | dashboard | gráficos,desconhecida,dados governamentais | indicadores compostos,desconhecida,varia conforme o indicador,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0002,camadas geoespaciais | mapas | metadados,desconhecida,mapa interativo | geovisualização,desconhecida,órgãos estaduais | levantamentos | sensoriamento remoto,desconhecida,varia conforme a camada,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0003,indicadores | mapas | séries | relatórios,desconhecida,mapa interativo | dashboard | gráficos,desconhecida,modelos climáticos | dados socioambientais | indicadores compostos,desconhecida,varia conforme o indicador,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0004,inventários | tabelas | gráficos | séries temporais,desconhecida,dashboard | gráficos | tabelas,desconhecida,inventários nacionais | estatísticas setoriais | modelos,desconhecida,anual ou plurianual,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0005,alertas | mapas | séries de estações | relatórios,desconhecida,mapa interativo | dashboard | gráficos,desconhecida,estações automáticas | radar | satélite | modelos,desconhecida,subdiária | diária | mensal; varia,desconhecida,aberto | alguns dados mediante solicitação,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0006,mapas | alertas | indicadores | séries,desconhecida,mapa interativo | geovisualização | dashboard,desconhecida,satélite | estações | modelos | dados governamentais,desconhecida,quase em tempo real a periódica,desconhecida,consulta pública; APIs específicas podem exigir solicitação e chaves,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0007,mapas | indicadores | relatórios municipais,desconhecida,mapa interativo | dashboard | gráficos,desconhecida,sensoriamento remoto | dados censitários | modelos,desconhecida,varia conforme o indicador,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0008,metadados | datasets | links para serviços,desconhecida,busca tabular | pré-visualização de metadados,desconhecida,órgãos públicos brasileiros,desconhecida,varia conforme o conjunto,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0009,ocorrências | checklists | eventos de amostragem | metadados,desconhecida,mapa interativo | gráficos | busca tabular,desconhecida,coleções | literatura | ciência cidadã | monitoramento,desconhecida,evento a séries; varia,desconhecida,aberto | cadastro para downloads processados,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0010,mapas raster | estatísticas | alertas | séries anuais,desconhecida,mapa interativo | geovisualização | gráficos | dashboard,desconhecida,Landsat | Sentinel | modelos | validação amostral,desconhecida,anual | mensal; varia,desconhecida,aberto | atribuição requerida,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
