resource_id,resource_type_proposed,geographic_scope_proposed,data_formats_proposed,access_protocols_proposed,access_tools_proposed,institutional_status_proposed,citation_guidance_url_proposed,confidence,migration_status,rationale,exceptions
DR0001,platform,subnational,varies_by_dataset,unknown,,public,,média,revisão_manual,"Integra dados, visualização e/ou processamento em um mesmo ambiente. Cobertura geral restrita a unidade subnacional.",
DR0002,information_system,subnational,varies_by_dataset,OGC WMS | OGC WFS,,public,,média,revisão_manual,Sustenta produção e gestão institucional contínua de informação. Cobertura geral restrita a unidade subnacional.,
DR0003,information_system,national,varies_by_dataset,unknown,,public,,média,revisão_manual,Sustenta produção e gestão institucional contínua de informação. Cobertura geral de um país.,
DR0004,information_system,national,XLSX | CSV | PDF,unknown,,public,,média,revisão_manual,Sustenta produção e gestão institucional contínua de informação. Cobertura geral de um país.,
DR0005,monitoring_system,national,CSV | PDF,HTTP download | other_documented,web export,public,,média,revisão_manual,"Tem observação recorrente, indicadores operacionais ou alertas como função central. Cobertura geral de um país.",other_documented_requires_manual_confirmation
DR0006,platform,regional,varies_by_dataset,HTTP download | other_documented,web export,public,,média,revisão_manual,"Integra dados, visualização e/ou processamento em um mesmo ambiente. Cobertura geral de região multinacional ou macrorregional.",other_documented_requires_manual_confirmation
DR0007,platform,national,PDF,not_applicable,,academic,,média,revisão_manual,"Integra dados, visualização e/ou processamento em um mesmo ambiente. Cobertura geral de um país.",
DR0008,catalog,national,CSV | JSON | XML | XLSX,REST API,,public,,média,revisão_manual,Sua função principal é descobrir recursos e metadados. Cobertura geral de um país.,
DR0009,data_network,global,Darwin Core Archive | CSV | JSON,REST API,R package | Python package,consortium | intergovernmental,,alta,pronto_para_migração,"Integra uma rede distribuída de produtores, participantes, sítios ou repositórios. Cobertura geral mundial.",
DR0010,monitoring_system,national,GeoTIFF | CSV,Earth Engine API | HTTP download,Google Earth Engine,consortium,,média,revisão_manual,"Tem observação recorrente, indicadores operacionais ou alertas como função central. Cobertura geral de um país.",
DR0011,portal,national,Shapefile | CSV | GeoJSON,REST API | OGC WMS | OGC WFS | other_documented,other_documented: GeoNetwork,public,,média,revisão_manual,Funciona principalmente como interface de consulta e acesso. Cobertura geral de um país.,other_documented_requires_manual_confirmation
DR0012,monitoring_system,regional,CSV | KML | Shapefile,OGC WMS | OGC WFS,web export,public,,média,revisão_manual,"Tem observação recorrente, indicadores operacionais ou alertas como função central. Cobertura geral de região multinacional ou macrorregional.",
DR0013,data_network,regional,CSV | other_documented,other_documented,web export,consortium | academic,,média,revisão_manual,"Integra uma rede distribuída de produtores, participantes, sítios ou repositórios. Cobertura geral de região multinacional ou macrorregional.",other_documented_requires_manual_confirmation
DR0014,information_system,national,CSV | other_documented,unknown,,public,,média,revisão_manual,Sustenta produção e gestão institucional contínua de informação. Cobertura geral de um país.,other_documented_requires_manual_confirmation
DR0015,database,national,Shapefile | GeoPackage | PDF,unknown,,public,,média,revisão_manual,Mantém coleção estruturada e persistente de registros ou produtos. Cobertura geral de um país.,
DR0016,database,national,CSV | ZIP | Shapefile,not_applicable,,public,,alta,pronto_para_migração,Mantém coleção estruturada e persistente de registros ou produtos. Cobertura geral de um país.,
DR0017,information_system,national,CSV | TXT,REST API | HTTP download,web export,public,,média,revisão_manual,Sustenta produção e gestão institucional contínua de informação. Cobertura geral de um país.,
DR0018,database,national,CSV,not_applicable,,public,,alta,pronto_para_migração,Mantém coleção estruturada e persistente de registros ou produtos. Cobertura geral de um país.,
DR0019,platform,global,GeoTIFF | CSV | TFRecord,Earth Engine API | REST API,Google Earth Engine | JavaScript client | Python package | cloud processing environment,private,,média,revisão_manual,"Integra dados, visualização e/ou processamento em um mesmo ambiente. Cobertura geral mundial.",
DR0020,data_service,global,GeoTIFF | NetCDF | CSV,REST API | HTTP download,web export,public,,alta,pronto_para_migração,"Entrega, extrai ou transforma dados sob demanda. Cobertura geral mundial.",
DR0021,data_service,global,NetCDF | GRIB | ZIP,HTTP download | other_documented,Python package,intergovernmental,,média,revisão_manual,"Entrega, extrai ou transforma dados sob demanda. Cobertura geral mundial.",other_documented_requires_manual_confirmation
DR0022,database,global,GeoTIFF,HTTP download,other_documented: geospatial packages,academic,,alta,revisão_manual,Mantém coleção estruturada e persistente de registros ou produtos. Cobertura geral mundial.,other_documented_requires_manual_confirmation
DR0023,database,global,GeoTIFF | NetCDF,HTTP download,,academic,,alta,pronto_para_migração,Mantém coleção estruturada e persistente de registros ou produtos. Cobertura geral mundial.,
DR0024,database,global,Shapefile | CSV | File Geodatabase,REST API | HTTP download,web export,consortium | intergovernmental,,alta,pronto_para_migração,Mantém coleção estruturada e persistente de registros ou produtos. Cobertura geral mundial.,
DR0025,database,global,CSV | JSON | Shapefile,REST API,,consortium | nonprofit,,alta,pronto_para_migração,Mantém coleção estruturada e persistente de registros ou produtos. Cobertura geral mundial.,
DR0026,data_network,global,CSV | TSV | GeoParquet | JSON,REST API | HTTP download,R package | cloud processing environment | web export,consortium | intergovernmental,,alta,pronto_para_migração,"Integra uma rede distribuída de produtores, participantes, sítios ou repositórios. Cobertura geral mundial.",
DR0027,data_network,global,CSV | JSON | other_documented,REST API | HTTP download,R package | web export,academic,,alta,revisão_manual,"Integra uma rede distribuída de produtores, participantes, sítios ou repositórios. Cobertura geral mundial.",other_documented_requires_manual_confirmation
DR0028,repository,global,CSV | KML | JSON,REST API | other_documented,R package,academic,,alta,revisão_manual,"Recebe, preserva, documenta e distribui datasets. Cobertura geral mundial.",other_documented_requires_manual_confirmation
DR0029,monitoring_system,national,CSV | HDF5 | GeoTIFF | LAZ,REST API | HTTP download,R package: neonUtilities | cloud processing environment,public | academic,,média,revisão_manual,"Tem observação recorrente, indicadores operacionais ou alertas como função central. Cobertura geral de um país.",
DR0030,data_network,global,CSV | XML | NetCDF,DataONE API,R package | Python package,consortium,,média,revisão_manual,"Integra uma rede distribuída de produtores, participantes, sítios ou repositórios. Cobertura geral mundial.",
DR0031,repository,global,CSV | EML,DataONE API,R package | Python package,academic,,alta,pronto_para_migração,"Recebe, preserva, documenta e distribui datasets. Cobertura geral mundial.",
DR0032,repository,global,NetCDF | other_documented,REST API | OAI-PMH | HTTP download,,academic,,alta,revisão_manual,"Recebe, preserva, documenta e distribui datasets. Cobertura geral mundial.",other_documented_requires_manual_confirmation
DR0033,repository,global,varies_by_dataset,REST API | HTTP download,,nonprofit,,alta,pronto_para_migração,"Recebe, preserva, documenta e distribui datasets. Cobertura geral mundial.",
DR0034,data_network,global,CSV | JSON,REST API | HTTP download | other_documented,web export,nonprofit,,alta,revisão_manual,"Integra uma rede distribuída de produtores, participantes, sítios ou repositórios. Cobertura geral mundial.",other_documented_requires_manual_confirmation
DR0035,catalog,global,not_applicable,not_applicable,,academic,,média,revisão_manual,Sua função principal é descobrir recursos e metadados. Cobertura geral mundial.,
DR0036,database,global,CSV,not_applicable,,public | academic,,alta,pronto_para_migração,Mantém coleção estruturada e persistente de registros ou produtos. Cobertura geral mundial.,
DR0037,database,global,GeoTIFF | VRT,REST API | OGC WCS | WebDAV | HTTP download,,nonprofit,,alta,pronto_para_migração,Mantém coleção estruturada e persistente de registros ou produtos. Cobertura geral mundial.,
DR0038,database,global,CSV,REST API | OGC WFS | OGC WCS | HTTP download,web export,nonprofit,,alta,pronto_para_migração,Mantém coleção estruturada e persistente de registros ou produtos. Cobertura geral mundial.,
DR0039,publishing_software,not_applicable,Darwin Core Archive | EML,not_applicable,,consortium,,alta,pronto_para_migração,"É software para publicar e administrar dados, não uma base agregadora. Recurso sem cobertura geográfica própria aplicável.",
DR0040,database,global,other_documented,not_applicable,,consortium | academic,,alta,revisão_manual,Mantém coleção estruturada e persistente de registros ou produtos. Cobertura geral mundial.,other_documented_requires_manual_confirmation
DR0041,database,global,CSV,other_documented,R package: RBIEN,consortium | academic,,média,revisão_manual,Mantém coleção estruturada e persistente de registros ou produtos. Cobertura geral mundial.,other_documented_requires_manual_confirmation
DR0042,data_network,continental,CSV | ZIP,HTTP download | other_documented,R package: amerifluxr,consortium | academic,,alta,revisão_manual,"Integra uma rede distribuída de produtores, participantes, sítios ou repositórios. Cobertura geral continental.",other_documented_requires_manual_confirmation
DR0043,data_network,global,CSV | ZIP,HTTP download,other_documented: community tools,consortium | academic,,alta,revisão_manual,"Integra uma rede distribuída de produtores, participantes, sítios ou repositórios. Cobertura geral mundial.",other_documented_requires_manual_confirmation
DR0044,platform,global,GeoTIFF | Shapefile | CSV,REST API | HTTP download | other_documented,web export,nonprofit,,média,revisão_manual,"Integra dados, visualização e/ou processamento em um mesmo ambiente. Cobertura geral mundial.",other_documented_requires_manual_confirmation
DR0045,platform,global,CSV,HTTP download,web export,consortium | academic,,média,revisão_manual,"Integra dados, visualização e/ou processamento em um mesmo ambiente. Cobertura geral mundial.",
DR0046,database,global,NetCDF | XLSX | CSV,HTTP download,,intergovernmental,,alta,pronto_para_migração,Mantém coleção estruturada e persistente de registros ou produtos. Cobertura geral mundial.,
