priority_rank,priority_tier,priority_score,resource_id,resource_name,source_batch,batch_rank,impact_level,scientific_risk_level,link_role_status,access_documentation_status,risk_flag_count,review_dimension_count,review_focus,queue_status,evidence_url_used,reviewer,reviewed_at,decision,decision_notes
1,P0,95,DR0015,Banco de Dados e Informações Ambientais,BR4,7,muito_alta,muito_alto,same_destination_pending_review,ausente,7,10,papéis dos links; levantamento; escala cartográfica; metadados; download; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
2,P0,95,DR0045,Global Carbon Atlas,BR5,3,muito_alta,muito_alto,same_destination_pending_review,ausente,7,10,papéis dos links; produto e edição; fonte; método; download; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
3,P0,94,DR0004,Sistema de Registro Nacional de Emissões,BR4,4,muito_alta,muito_alto,same_destination_pending_review,ausente,7,9,papéis dos links; inventário e edição; setor e gás; download; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
4,P0,91,DR0002,Infraestrutura de Dados Espaciais do Sistema Estadual de Meio Ambiente e Recursos Hídricos,BR4,2,muito_alta,muito_alto,role_review_required,ausente,7,10,papéis dos links; camada; escala; endpoints; atualização; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
5,P0,90,DR0014,Sistema de Informação sobre a Biodiversidade Brasileira,BR2,2,muito_alta,muito_alto,same_destination_pending_review,ausente,5,7,papéis dos links; agregação; provedor original; acesso; duplicação,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
6,P0,90,DR0003,AdaptaBrasil MCTI,BR4,3,muito_alta,muito_alto,role_review_required,ausente,6,10,papéis dos links; indicador; cenário; unidade territorial; atualização; acesso,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
7,P0,90,DR0051,Project COSMOS,BR5,7,alta,muito_alto,same_destination_pending_review,ausente,7,9,decisão de escopo; papéis dos links; base integral versus interface; inclusão; acesso; licença,aguardando_evidência_oficial,,,,manter_csv_atual,decisão de escopo obrigatória antes da migração
8,P1,88,DR0049,International Long Term Ecological Research Network,BR5,5,muito_alta,muito_alto,separate_destinations,ausente,8,10,rede versus registro; sítio; repositório; acesso; licença; duplicação,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
9,P1,87,DR0043,FLUXNET,BR3,7,muito_alta,muito_alto,separate_destinations,ausente,7,10,coleção e versão; processamento; sítios; footprint; licença; sobreposição,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
10,P1,87,DR0017,Sistema Nacional de Informações sobre Recursos Hídricos / HidroWeb,BR5,1,muito_alta,muito_alto,same_destination_pending_review,documentada,6,8,papéis dos links; estação e série; qualidade; período; API; suporte,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
